Normal,BruteForce
97302252,750326
438704,182635
281562,146869
272431,163991
246938,187201
299445,217640
550569,311241
257211,398753
370978,409787
328743,447836
354997,551329
319231,529261
342060,614872
394187,488549
350431,194811
323036,190625
348148,181874
323798,222587
311621,220303
319231,194430
309719,207748
341299,207747
4752317,255309
2573252,164751
252645,122518
193669,112626
187581,117951
218020,124801
243133,123659
270528,117952
230957,1137665
234382,119093
185298,128986
226771,121376
274714,119093
215357,7256700
281563,176928
254168,81805
197855,85610
217260,80663
386958,81805
229816,80283
219162,78381
186821,80284
208508,80664
178830,85991
203182,87513
187201,85610
180732,81045
184918,82567
166274,10861459
489690,95123
208889,94741
176548,99307
162469,109962
187962,92459
2159660,332548
226011,100449
198235,151054
210411,106918
1785638,114527
179972,93220
137356,112244
149532,172362
173884,88273
4889674,105776
158283,89796
256450,91317
127845,90556
127464,89034
117190,94742
126703,95883
120615,91318
119473,100069
152956,95884
117191,98927
131269,95883
111864,99307
117952,95123
122898,113006
141922,97786
12297428,131269
257592,118332
171981,122898
132030,104254
823760,107298
146489,106537
130127,106157
154479,104254
120616,106917
123279,11243471
167416,123659
121757,111483
120615,95122
85229,78001
59357,96264
121757,105015
102732,109581
122518,134312
136596,105015
109581,105396
101591,108439
12857128,149913
619438,155620
122898,108820
107679,106157
87893,113766
148010,112625
119093,150294
92840,114527
95123,120996
13211745,120615
116430,112625
113767,111103
86371,109581
285367,115289
88274,113006
100449,114147
105016,116810
12797772,144206
163230,117571
121376,118333
81425,122898
87133,120235
74956,119854
92459,133171
78761,122137
84469,124801
70010,120615
13988704,136216
111103,131649
173884,128225
67347,125180
65444,128605
74956,128224
65064,125942
13414926,145347
87513,410929
74957,127464
168176,135073
63161,141162
60879,133171
73434,128605
59357,130507
18868485,161328
91318,131269
59357,132410
57073,135835
57073,133171
55171,132791
52127,136215
10177718,163230
78381,140400
55932,8615429
87513,141162
62020,140020
58214,157142
56693,136976
4278607,194431
77619,140401
61259,163230
74576,151435
71912,148772
58976,148010
66205,148772
65825,145727
54409,148391
13567502,166655
947039,170459
100830,165513
366792,216498
80664,154479
66206,155240
13731112,168556
106917,181494
73815,162850
79522,155621
66586,154098
89795,152957
13844118,172362
313523,192147
90937,173884
118713,175025
77620,162089
76478,164371
13644360,315807
145347,169318
78381,163991
80664,173123
89035,170079
67727,163610
13302300,190245
83327,219163
103494,167415
70391,167035
64683,166273
65064,175025
14072031,200518
102732,171600
72293,168938
84850,170840
65444,168938
69250,170459
13973104,191387
114147,250743
91698,176167
74195,172742
66967,178830
71532,173123
58976,13750137
101972,184538
68868,166655
44137,156761
42995,157523
39951,155240
14435399,199376
83707,217260
69249,166654
60879,167795
59356,167035
14327720,225250
117572,189104
80283,178450
60498,178450
59357,176928
59737,178069
25113462,191386
88654,185299
70390,183015
14585312,187581
69249,187201
68488,185299
57835,184157
3840663,211552
168937,229816
87132,262918
84469,194049
79903,191387
14234120,226772
106918,200518
93220,191006
81045,197094
63161,191767
13961309,211933
143825,317328
215357,210411
82947,203942
116049,202421
14014197,216879
98166,202040
71913,195191
65444,195952
90937,195191
16731274,208508
94362,197475
82186,213455
71532,198996
76859,196713
11614068,319611
114146,204704
74956,199757
72293,199376
71532,200138
14006968,215738
100449,269387
84849,243133
187201,214596
82566,208890
13778293,219542
100069,208128
72293,203182
64303,203181
14471926,221826
103112,208509
74957,203562
67728,206225
69629,16768942
201279,210411
70391,206606
57454,209649
130508,12016246
85229,208509
66586,205845
53649,205845
53269,14649233
70391,208128
38810,190245
49844,210031
14626785,235524
224109,208128
43757,192908
42615,195191
14571994,238566
85991,229816
75337,226392
83708,219162
15011460,245035
156001,229055
77240,220684
67346,221445
13758127,446315
165513,230196
71532,215737
59737,233240
13732634,246557
292978,284988
74575,257592
97406,221445
14056812,237806
85611,224489
70009,233620
83708,228293
14305652,235143
60117,282324
154859,224489
42235,203943
14725332,240089
87893,225249
60118,226011
60117,258733
5287665,236665
98927,225630
58596,230197
62781,223728
2800405,237806
70010,225630
55551,224108
52888,223348
2552705,232098
74195,226772
57073,230577
57454,227533
3055713,240470
75337,232479
60117,233240
60497,233241
2787087,250743
136215,290313
60879,232479
66586,235142
16723664,273572
75337,234381
60498,234002
58215,230957
14336852,273953
86751,234382
60498,231338
55170,230197
16180705,244655
76098,236665
62781,232859
66586,232479
16502980,246938
84088,255309
60117,245796
61259,264060
17830890,247319
79903,240851
68489,245416
74196,237045
14818552,249601
74576,235523
57073,233240
57073,233240
7363236,280802
90176,242373
57835,238947
57834,1353021
19963153,245036
70391,236665
55171,235523
51366,235143
14279017,308957
143065,235523
58976,238947
54791,238567
7769600,261777
88273,238948
57834,238187
55932,242372
16157876,267104
76478,244275
61640,241230
16546737,270528
133932,245416
57454,247699
60498,9915181
254167,334831
78000,243894
68868,239328
14432355,254548
88273,242372
76859,240088
5404096,256069
72293,278899
54791,245416
3043917,249220
92840,243513
62020,244655
3087293,374021
87894,250362
81806,259114
2910366,257211
89796,247699
62020,246177
3202201,258353
85610,243133
61640,243894
2932434,277377
82947,251123
62781,258353
2991410,259874
91318,249600
60878,242753
3224651,259875
74957,252265
60497,250743
14807138,253025
79522,244275
51747,241611
14862308,335592
250363,324178
74956,247699
14327340,264821
86752,271669
73815,273571
14419418,263299
81424,256830
73054,259494
14705927,326841
306294,323797
98167,311240
14011153,261777
74957,268246
124040,350051
14542697,269006
270528,343582
80664,246557
14401535,360323
138498,254928
66205,250362
14531282,269006
81806,272431
89034,248460
4354705,284225
84469,250742
64683,250362
2979234,296021
87513,255689
74195,252645
2984181,271290
81805,254167
65064,256450
18155066,263679
79141,255689
67346,256831
14462033,269006
88273,257211
82186,255689
14689185,262918
61640,238186
43756,237806
14717341,263299
76098,253025
60878,247699
14783928,276616
84088,253025
67347,254928
14642766,273953
264821,396851
85990,261016
14235261,275475
87513,285367
86751,258352
14582268,265582
101591,369455
178450,256450
14351691,285748
152195,321133
66966,257972
14536229,278899
92840,262157
74956,263299
14612706,272431
247699,350051
77239,254548
3050767,283464
114908,249602
37668,235903
3026795,257592
78000,253026
63922,254168
3045820,262538
83327,236665
57453,239328
3099469,246557
51366,235904
49083,236284
3146650,251884
52508,298304
54029,241611
3052288,275094
78381,254166
65825,252264
15012602,331787
83327,319231
66205,252265
14807898,282323
108059,269006
75717,256070
14317448,317709
116049,258733
79142,258352
14357779,274333
79903,265962
66966,253787
14674727,269387
78001,264821
174265,257591
14842523,367552
97025,273952
70390,273192
14092198,271289
80283,276617
68488,284226
14788874,359944
266343,275475
99688,258733
14556395,364890
110723,282323
82947,262157
14842903,734726
98927,253026
62781,249982
13483413,380490
99688,267104
70010,259495
14376042,278138
74956,268245
61639,286508
14640103,376685
267104,249982
53649,234001
14099807,406363
66585,249602
37288,236664
14629068,272431
63542,253406
55171,251503
14958953,345865
82566,251124
52127,246557
17569493,280801
74195,249602
53268,265963
11633092,256450
53269,245796
45659,245797
16528473,256450
54410,247698
47561,244655
12929040,259113
73434,249602
58215,249601
17830129,264060
63542,249602
54410,248079
11578683,444412
62780,246177
49844,273191
14388979,252645
65064,245796
70391,251123
14634014,272050
170079,336353
68488,257211
14541174,280421
129367,253026
50605,307436
14392024,262157
100069,280422
54410,256831
14557916,267484
50224,267865
31961,230957
14721147,253026
59737,247318
52507,245416
14745878,266723
61639,248840
52507,246557
14697937,273572
72293,251884
65064,241231
14712015,253026
63162,245796
56693,245035
14797625,245797
95883,270528
57835,242372
14817030,249221
5653316,248079
9299168,247698
82566,335211
47942,235904
14599009,245797
58215,279660
42234,243894
14654561,242752
41093,227152
27776,15105442
57454,270147
106537,308196
43375,14726093
55932,243133
62400,318470
55932,14825401
79142,248460
60498,244275
85611,14977216
115669,248080
60878,244274
14797245,263680
70011,246177
62781,16108412
67346,254167
39951,281943
14771371,259875
59736,235143
14747781,245035
53648,237426
14380988,238567
49464,290694
15019070,249601
53269,241992
15033148,244275
50986,229816
15106963,241611
51366,272430
15045324,678793
106918,612208
14259993,750326
170459,606881
13950654,697818
125942,625906
14028275,585573
75717,575681
14717342,588618
82186,575681
14145847,651017
128225,612208
14528619,655584
96264,573398
14039689,921926
165132,610305
13648546,645310
124039,598891
14359301,619438
86752,566930
14226130,682980
84088,576061
14308696,757174
219923,628188
14058334,900619
85990,565027
13825094,679174
161708,584052
14305271,776200
110723,564647
14073934,1127772
234001,760980
13388291,761360
227533,721028
13908040,972912
226010,709614
13521082,668901
145347,563886
14159924,737389
125181,561222
14085348,611447
85991,550949
14321252,568072
84849,546383
14407623,583291
89035,552090
14613088,1131957
228293,757174
13310291,810443
171600,577583
14473067,13691542
128606,571876
1589306,571495
77240,542197
13756225,743476
98927,536870
14058713,862190
149913,546383
73435,534588
13135646,543720
82947,531164
14583790,650637
169698,541818
14191885,636940
96263,596227
14080782,539915
79903,552471
14581888,838980
100830,523554
13948372,554754
81425,520509
14428549,539535
81044,520510
14661030,972150
264440,581388
115669,556276
12834298,577584
80283,534208
14486765,788375
129366,531544
14252383,958834
125182,515564
70011,532304
13328174,636179
119854,550569
14340277,751086
95883,506431
14210910,741193
81805,504148
14010772,552852
124420,544861
14474969,590900
96264,503007
14365769,587096
98546,495017
14452521,582529
97025,496540
14402296,1060806
317329,760598
13635990,537252
131649,525836
14326198,523934
129747,516324
14259231,407885
154098,353475
14446814,410168
137356,388481
15059783,904424
221065,514041
13761171,921926
171221,517466
14990154,520510
128986,511379
14529760,629330
188342,519749
14055290,584813
82566,470285
14452901,571115
116050,481319
14375281,493876
81805,465339
14542316,498061
81805,488168
14752347,800551
136976,496539
114148,474091
13363941,490452
115669,489691
14576180,536110
128605,485125
14671683,826424
251504,482842
88655,480558
13045850,485124
87132,453163
14891606,826044
253787,664335
191386,529642
13093792,840502
356138,485125
124039,479036
12968611,666998
85611,433758
14393926,551710
182255,534208
14224608,506051
88654,430715
14455946,460012
85611,427670
14623742,268245
72674,259113
14947919,272050
86752,300206
15245842,624384
108820,419680
14148129,452022
129747,430714
14545741,445934
132410,437183
14646571,444032
123278,439085
14590639,265202
165513,310099
204323,255689
68868,245416
346626,243893
64683,241991
101971,241991
61639,241991
414734,245035
74195,241230
364509,243514
73815,243893
111484,240089
69250,234762
351192,234762
69249,233621
324939,232479
78761,230957
116811,229816
68488,230577
362226,229816
70010,227153
344343,236284
78000,233621
5436437,235903
75718,261777
98927,235143
188342,228293
318470,224489
103493,224108
117952,218020
66206,215357
366792,217259
71533,218021
331787,217640
68488,218021
103873,217259
70771,213835
352714,214976
65825,210411
342821,225630
63162,1453470
422343,216498
71532,209649
407124,215357
73434,202420
41854,191006
5398388,142683
63542,180352
232099,136597
42995,139639
286509,138498
57074,129747
291075,131268
46800,128605
72293,127464
45659,128606
243894,130127
48703,125181
235523,129367
48703,126703
72674,123659
44517,124800
241230,125181
45659,121377
228294,125181
48322,120615
103873,119093
42995,118713
238948,118713
46039,117952
332547,125181
46040,117191
79523,123659
60117,125942
139259,114527
52127,115288
28156,105015
7796995,125561
47561,110342
82186,113385
46039,120616
433759,130127
43756,108820
222587,108059
45278,106536
93601,107679
44898,102732
241611,106918
44899,105395
233241,105396
46419,103874
72673,104634
44897,103873
234763,105776
47181,98166
222586,97025
42615,98547
70391,96264
54029,101591
304011,98166
47942,94742
232098,174645
48322,139640
65445,94741
8148947,128225
54790,125942
98547,130127
86372,121376
157904,88274
14451380,112244
38810,84089
15326887,95503
101591,106157
15019450,101971
49464,79902
15366077,233241
178830,215737
118332,198615
14616131,224109
140400,207747
130509,213835
128225,204703
14318588,174645
100069,114528
15159090,124040
67727,103494
15952030,116810
74195,106918
100068,105396
60118,103113
387719,105776
65825,103873
316188,103493
73434,99688
89795,101590
67727,99688
45278,89415
12943118,105396
73434,98547
394568,97786
95883,96264
14328862,68488
65444,61259
15326506,84849
46800,60118
15282749,64302
49464,54791
46801,60498
78761,74576
73053,54791
43376,52127
44136,49084
61640,49463
44898,46800
44137,47942
43375,48702
44518,45278
43756,44518
14405340,52888
48702,45659
15435706,88654
58596,42615
67727,43756
54790,47561
71912,46800
43375,39571
49083,38810
48702,37288
45278,37288
54410,39191
47942,35386
46040,33863
53269,32722
45658,32723
44898,31200
46420,30059
68868,27396
13900811,46801
58596,36527
125181,25873
37288,21308
27395,20166
31580,19024
26254,18263
104254,21307
36527,20166
42995,19024
46419,17883
43756,17883
27014,54410
59737,18644
79522,19405
46420,13317
79523,13697
60117,11795
66205,12176
47562,8371
68488,10273
